角色,问题类型,问题,答案,embed_id
客户,健管服务,院内照护服务完成时效,院内照护服务将于收到客户完整资料后于3个工作日内完成服务安排。,embed_14
客户,健管服务,上门护理服务包含什么服务？,上门护理服务是由专业护士为有需要的客户提供上门打针、静脉采血、留置胃管、留置导尿、灌肠护理及指导、伤口换药、雾化护理、吸痰护理及指导、压疮护理及指导、造口护理、PICC护理、口腔护理、膀胱冲洗的护理。,embed_15
客户,健管服务,上门护理服务完成时效,上门护理服务将于收到客户完整资料后于3个工作日内完成服务安排。,embed_16
客户,健管服务,院内康复指导包含什么服务？,院内康复指导服务主要是为客户提供院后康复指导，根据实际情况，基于专业量表针对日常生活照料、基础并发症预防、辅具适配、居家环境注意事项、体质恢复营养、疾病康复促进、个性化风险预防等进行远程指导。,embed_17
客户,健管服务,院内康复指导服务完成时效,院内康复指导将于收到客户完整资料后于5个工作日内完成服务安排。,embed_18
客户,健管服务,医疗费用垫付服务是什么意思？,医疗费用垫付是为解决客户就医过程中的资金问题而提供的服务，当客户出险（非急救/急诊/意外伤害）时，且经保险公司核实符合保险责任，可在其保险责任保额范围内或保险公司授权许可的额度范围内为客户垫付医疗费用。,embed_19
客户,健管服务,医疗费用垫付包含什么服务？,医疗费用垫付服务提供包含1、治疗方案评估；2、治疗进程跟踪；3、治疗费用监控；4、垫付费用追加；5、出院时间确定等服务。,embed_20
客户,健管服务,医疗费用垫付服务完成时效,医疗费用垫付服务将于收到客户完整资料后于3天内完成服务安排。,embed_21
客户,健管服务,申请医疗费用垫付服务需要什么单据？,医疗费用垫付服务申请需要客户提供各类医疗单据，这些单据在为客户垫付医疗费用后，将会代为收集其在就医过程中产生的各类医疗单据，包括门诊住院病历、诊断证明、检查报告单、出院小结、医疗收据等，并向保险公司申请理赔；,embed_22
客户,健管服务,肿瘤用药基因检测安排服务是什么意思？,肿瘤用药基因检测安排服务是在客户确诊癌症后，为客户提供用药基因检测服务，出具正规医学检验所基因检测报告并进行报告解读，最高可全面覆盖肿瘤相关600+基因，FDA及NMPA批准的120+靶向和免疫治疗药物，治疗用药机会最大化。,embed_23
客户,健管服务,肿瘤用药基因检测服务完成时效,肿瘤用药基因检测服务将于收到客户完整资料后于3个工作日内完成服务安排。,embed_24
客户,健管服务,国内特药服务包含什么服务？,国内特药服务包含：1、用药医学审核；2、购药预约；3、慈善赠药项目申请指导；4、特药药费垫付。,embed_25
客户,健管服务,进行购药预约后如何取药？,购药预约是在医院开具特定高额药品处方后，为客户提供药品预约服务。客户可以选择到店取药或送药上门两种方式（同城快递免费，冷链配送自费）。,embed_26
客户,健管服务,国内特药服务完成时效,国内特药服务将于收到客户完整资料后于3个工作日内完成服务安排。,embed_27
客户,健管服务,什么时候可申请特药药费垫付服务？,当客户在医院开具《特定高额药品目录》的药品处方后，客户就可以发起药品垫付申请。,embed_28
客户,健管服务,海外特药服务包含什么服务？,"海外特药服务包含（1）医院就诊协助：针对寻求海外特药治疗的客户，协助客户进行海南博鳌超级医院和博鳌恒大国际医院的就诊预约；（2）药品报销：在医院开具特定高额药品处方后，服务人员在跟进客户治疗方案的同时，指导客户提交理赔申请资料及服务授权资料，经确认资料完整、核验无误后，为客户提供药品报销服务。
",embed_29
客户,健管服务,医院就诊协助服务是什么意思？,"医院就诊协助是针对寻求海外特药治疗的客户，协助客户进行海南博鳌超级医院和博鳌恒大国际医院的就诊预约。
",embed_30
客户,健管服务,何时提供药品报销服务？,在医院开具特定高额药品处方后，服务人员在跟进客户治疗方案的同时，指导客户提交理赔申请资料及服务授权资料，经确认资料完整、核验无误后，为客户提供药品报销服务。,embed_31
客户,健管服务,海外特药完成时效,海外特药服务中（1）就诊协助于收到客户完整资料后5个工作日内完成服务安排；（2）药品报销于收到客户完整资料后3个工作日内完成服务安排。,embed_32
客户,产品,这个产品也没比别家性价比高啊？,"A1：中华保险是大品牌保险公司，股东是包括兵团在内的多家企事业单位，我们追求的并不是极致性价比，而是百年老店的声誉口碑，是不断创新的服务模式，和从不断链的服务品质
A2：别家有别家的优势，但是中华有中华的口碑，我们的服务从不推诿、从不掉链子，只要您是中华的客户，只要我们的产品还在，我们就会一直是您健康保障的后盾
",embed_33
客户,产品,"如果产品停售了，我还能续保么？","A1：如果产品停售，我们会创造出更好的产品进行迭代，老客户投保也会免除等待期
A2：只要中华保险还在，您的保障就不会断链",embed_34
客户,产品,"如果我得了重疾，我自己无法挂到专家号，你们能帮我解决么？", 全国范围内，所有三甲医院，只要您需要，我们就能联系到好的医生为您的健康保驾护航,embed_35
客户,理赔,理赔流程,理赔流程：                                                                                第1步：申请报案。您可通过电话、小程序、官网等渠道进行报案； 第2步，提交材料。您需要根据申请理赔页面的指引提供相关材料；第3步：理赔审核。资料齐全情况下，理赔审核周期最长不超过30天，请您耐心等待。                                                                  第4步，获得理赔通知和理赔金。,embed_36
客户,理赔,理赔材料怎么提交？,您可通过拨打95585客服专线或者登录中华保小程序、中华联合财险官网、官微等方式，使用理赔申请服务，提交理赔申请材料,embed_37
代理人,销售技巧,产品对于客户的卖点是什么？/可以从哪方面切入，为客户推销产品？,（1）男女患癌发生率升高，由于生活因素、生理因素等原因，使得人们患癌发生率上升，有必要购买百万医疗险为自身提供一份保障，且该产品提供的癌症基因检测，可以帮助客户提前预防，尽早检出癌细胞的存在；（2）就诊用药无忧，该产品为客户提供了高端医疗的重疾绿色通道服务、特药服务和其它健康管理服务，客户用中低端的价位，就可享受高端的服务。（3）为客户提供全流程服务，客户患病前为客户提供体检、预约就诊、健康指导、癌症基因检测服务；客户患病后，为客户提供安排住院、手术、肿瘤特药、海外特药服务；客户出院后，为客户提供康复指导、定期复查服务。,embed_38
代理人,销售技巧,相较于其他医疗险，这款产品有什么优势？,惠民保只能覆盖部分医疗费用，并且患有既往症的客户虽然可保但不赔付既往症的医疗费用，而高端医疗虽然可覆盖各知名医院国际部、特需部，但是件均保费2000元以上。但是这款0免赔百万医疗产品能够覆盖大部分医疗费用，是医保之外的强补充剂，兼顾了保障全面和价格实惠的优势，更具性价比。,embed_39
代理人,理赔,理赔过程中如何做好客户预期管理？,（1）做好流程衔接。要换位思考，急客户之所急。理赔流程公开透明，对于卡点做好服务辅助；（2）做好解释说明。费用补偿型保险产品，很难做到客户医疗费用全覆盖，非合理且必须的譬如：空调费、取暖费等，都属于治疗费用意外项目，如发生扣除，应做好解释说明工作。,embed_40
